,status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price,prev_sold_year
447705,for_sale,7.0,4.0,3.02,Bridgewater,Connecticut,6752.0,3375.0,1995-08-25,760000.0,1995.0
447706,for_sale,,,15.3,Bridgewater,Connecticut,6752.0,,2000-09-01,279000.0,2000.0
447707,for_sale,,,4.27,Bridgewater,Connecticut,6752.0,,2019-06-26,295000.0,2019.0
447708,for_sale,4.0,4.0,12.42,Bridgewater,Connecticut,6752.0,3401.0,,1500000.0,
447709,for_sale,4.0,4.0,2.5,Bridgewater,Connecticut,6752.0,3400.0,,869000.0,
447710,for_sale,3.0,3.0,5.22,Bridgewater,Connecticut,6752.0,4650.0,1995-03-20,2695000.0,1995.0
447711,for_sale,3.0,4.0,5.08,Bridgewater,Connecticut,6752.0,3224.0,2014-12-09,2595000.0,2014.0
447712,for_sale,5.0,6.0,5.02,Bridgewater,Connecticut,6752.0,5716.0,1996-07-15,2295000.0,1996.0
447713,for_sale,,,9.85,Bridgewater,Connecticut,6752.0,,,675000.0,
447715,for_sale,,,1.94,New Milford,Connecticut,6776.0,,,30000.0,
447727,for_sale,,,46.4,Woodbury,Connecticut,6798.0,,,999999.0,
447730,for_sale,7.0,7.0,5.4,Washington,Connecticut,6793.0,5478.0,,3495000.0,
447736,for_sale,5.0,6.0,31.36,Washington,Connecticut,6777.0,6500.0,2008-03-06,5995000.0,2008.0
447742,for_sale,,,1.44,New Milford,Connecticut,6776.0,,,135000.0,
447743,for_sale,,,8.35,Roxbury,Connecticut,6783.0,,,275000.0,
447745,for_sale,,,24.84,Roxbury,Connecticut,6783.0,,,800000.0,
447746,for_sale,,,3.26,Sherman,Connecticut,6784.0,,1999-08-24,149900.0,1999.0
447747,for_sale,,,1.88,Sherman,Connecticut,6784.0,,,98000.0,
447748,for_sale,,,8.64,Washington,Connecticut,6793.0,,,450000.0,
447751,for_sale,,,1.86,Sherman,Connecticut,6784.0,,2005-06-03,299900.0,2005.0
