,status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price,prev_sold_year
636954,for_sale,,,0.17,Philadelphia,Pennsylvania,19130.0,,1995-11-24,2000000.0,1995.0
636955,for_sale,,,0.01,Philadelphia,Pennsylvania,19125.0,,,349000.0,
636956,for_sale,4.0,3.0,0.19,Lansdowne,Pennsylvania,19050.0,1488.0,,190000.0,
636957,for_sale,3.0,2.0,0.02,Philadelphia,Pennsylvania,19140.0,1008.0,,117900.0,
636958,for_sale,3.0,2.0,0.07,Philadelphia,Pennsylvania,19119.0,1488.0,1992-01-22,450000.0,1992.0
636961,for_sale,1.0,1.0,,Philadelphia,Pennsylvania,19107.0,681.0,2017-03-31,155000.0,2017.0
636962,for_sale,3.0,3.0,,Philadelphia,Pennsylvania,19128.0,,,684575.0,
636963,for_sale,3.0,1.0,0.03,Philadelphia,Pennsylvania,19134.0,1440.0,2018-11-07,77900.0,2018.0
636964,for_sale,2.0,2.0,0.03,Philadelphia,Pennsylvania,19144.0,960.0,1984-09-28,150000.0,1984.0
636965,for_sale,2.0,2.0,,Philadelphia,Pennsylvania,19121.0,1142.0,,375000.0,
636966,for_sale,3.0,2.0,0.07,Lansdowne,Pennsylvania,19050.0,1304.0,2019-10-15,260900.0,2019.0
636967,for_sale,2.0,2.0,,Philadelphia,Pennsylvania,19107.0,1300.0,,389000.0,
636968,for_sale,2.0,1.0,,Philadelphia,Pennsylvania,19147.0,957.0,,364500.0,
636969,for_sale,2.0,2.0,,Philadelphia,Pennsylvania,19121.0,1026.0,,380000.0,
636970,for_sale,2.0,2.0,,Philadelphia,Pennsylvania,19121.0,1008.0,,395000.0,
636971,for_sale,3.0,2.0,0.03,Philadelphia,Pennsylvania,19120.0,1620.0,,159000.0,
636972,for_sale,2.0,,0.02,Philadelphia,Pennsylvania,19134.0,1350.0,2007-10-01,139000.0,2007.0
636973,for_sale,3.0,2.0,0.02,Philadelphia,Pennsylvania,19145.0,1410.0,2004-04-28,345000.0,2004.0
636974,for_sale,3.0,1.0,0.03,Philadelphia,Pennsylvania,19151.0,1120.0,1998-08-17,215000.0,1998.0
636975,for_sale,1.0,1.0,,Philadelphia,Pennsylvania,19103.0,898.0,,215000.0,
636976,for_sale,2.0,2.0,,Philadelphia,Pennsylvania,19121.0,1142.0,,415000.0,
636977,for_sale,3.0,2.0,0.02,Philadelphia,Pennsylvania,19134.0,956.0,2020-11-25,172500.0,2020.0
636981,for_sale,3.0,2.0,0.02,Philadelphia,Pennsylvania,19139.0,1422.0,2021-12-16,215000.0,2021.0
636982,for_sale,1.0,2.0,,Philadelphia,Pennsylvania,19147.0,1268.0,,325000.0,
636983,for_sale,2.0,3.0,,Philadelphia,Pennsylvania,19145.0,1705.0,,385000.0,
636984,for_sale,3.0,1.0,0.02,Philadelphia,Pennsylvania,19148.0,908.0,,169900.0,
636985,for_sale,3.0,3.0,1.41,Newtown Square,Pennsylvania,19073.0,2800.0,1989-12-14,848000.0,1989.0
636986,for_sale,3.0,3.0,,Philadelphia,Pennsylvania,19107.0,3005.0,,1225000.0,
636988,for_sale,4.0,3.0,0.6,Lafayette Hill,Pennsylvania,19444.0,3220.0,1993-06-03,690000.0,1993.0
636989,for_sale,3.0,2.0,0.02,Philadelphia,Pennsylvania,19140.0,1260.0,1992-10-27,199000.0,1992.0
636990,for_sale,3.0,2.0,0.03,Philadelphia,Pennsylvania,19149.0,1170.0,2002-12-11,220000.0,2002.0
636991,for_sale,3.0,1.0,0.03,Philadelphia,Pennsylvania,19138.0,1164.0,2015-01-28,199000.0,2015.0
636992,for_sale,2.0,1.0,0.02,Philadelphia,Pennsylvania,19145.0,1062.0,1986-11-28,150000.0,1986.0
636993,for_sale,4.0,1.0,0.02,Philadelphia,Pennsylvania,19139.0,1500.0,,185000.0,
636994,for_sale,2.0,3.0,,Philadelphia,Pennsylvania,19103.0,1748.0,,3201295.0,
636995,for_sale,3.0,4.0,0.02,Philadelphia,Pennsylvania,19147.0,2012.0,2020-03-05,825000.0,2020.0
636996,for_sale,2.0,2.0,,Brookhaven,Pennsylvania,19015.0,924.0,2001-03-01,105000.0,2001.0
636998,for_sale,3.0,2.0,0.02,Philadelphia,Pennsylvania,19139.0,1074.0,2022-02-11,145000.0,2022.0
636999,for_sale,3.0,3.0,0.01,Philadelphia,Pennsylvania,19147.0,1728.0,2015-07-16,569000.0,2015.0
637001,for_sale,3.0,2.0,0.02,Philadelphia,Pennsylvania,19121.0,1144.0,,185000.0,
637002,for_sale,2.0,2.0,,Philadelphia,Pennsylvania,19102.0,1243.0,2010-01-13,380000.0,2010.0
637003,for_sale,2.0,2.0,,Philadelphia,Pennsylvania,19121.0,1033.0,,485000.0,
637004,for_sale,3.0,3.0,,Philadelphia,Pennsylvania,19121.0,1504.0,,600000.0,
637005,for_sale,3.0,2.0,0.03,Philadelphia,Pennsylvania,19140.0,1344.0,,160000.0,
637006,for_sale,3.0,3.0,,Philadelphia,Pennsylvania,19121.0,1476.0,,610000.0,
637007,for_sale,4.0,2.0,0.05,Philadelphia,Pennsylvania,19141.0,1650.0,2020-04-09,262500.0,2020.0
637008,for_sale,7.0,3.0,0.02,Philadelphia,Pennsylvania,19148.0,2502.0,,390000.0,
637009,for_sale,3.0,1.0,0.03,Philadelphia,Pennsylvania,19142.0,1173.0,2021-09-03,169000.0,2021.0
637011,for_sale,3.0,,0.02,Philadelphia,Pennsylvania,19132.0,1488.0,2019-06-03,140000.0,2019.0
637012,for_sale,4.0,4.0,0.03,Wyncote,Pennsylvania,19095.0,1690.0,,338000.0,
637018,for_sale,3.0,2.0,0.31,Chester,Pennsylvania,19013.0,2560.0,1985-04-23,275000.0,1985.0
637020,for_sale,5.0,3.0,0.04,Philadelphia,Pennsylvania,19139.0,2108.0,2018-07-03,344500.0,2018.0
637021,for_sale,3.0,1.0,0.03,Philadelphia,Pennsylvania,19120.0,1517.0,1995-04-03,155900.0,1995.0
637022,for_sale,2.0,2.0,0.02,Philadelphia,Pennsylvania,19121.0,840.0,2021-03-25,299900.0,2021.0
637023,for_sale,1.0,1.0,,Philadelphia,Pennsylvania,19125.0,770.0,,344000.0,
637025,for_sale,2.0,2.0,0.02,Philadelphia,Pennsylvania,19145.0,986.0,2013-08-01,305000.0,2013.0
637027,for_sale,3.0,1.0,0.03,Philadelphia,Pennsylvania,19143.0,1368.0,,90000.0,
637030,for_sale,2.0,1.0,0.01,Philadelphia,Pennsylvania,19125.0,,2015-08-25,245000.0,2015.0
637031,for_sale,3.0,1.0,0.02,Philadelphia,Pennsylvania,19139.0,1154.0,2015-07-30,110000.0,2015.0
637032,for_sale,3.0,1.0,0.03,Philadelphia,Pennsylvania,19142.0,1074.0,1989-03-07,133900.0,1989.0
637033,for_sale,4.0,2.0,0.11,Philadelphia,Pennsylvania,19139.0,2212.0,,225000.0,
637034,for_sale,3.0,2.0,0.02,Philadelphia,Pennsylvania,19120.0,1350.0,1997-02-13,215000.0,1997.0
637036,for_sale,4.0,,0.21,Glenolden,Pennsylvania,19036.0,2218.0,1994-03-28,174900.0,1994.0
637037,for_sale,3.0,3.0,0.01,Philadelphia,Pennsylvania,19133.0,1780.0,,380000.0,
637038,for_sale,3.0,1.0,0.03,Philadelphia,Pennsylvania,19133.0,1536.0,2018-03-29,70000.0,2018.0
637039,for_sale,4.0,3.0,0.05,Morton,Pennsylvania,19070.0,2600.0,1991-06-20,244900.0,1991.0
637041,for_sale,3.0,1.0,,Philadelphia,Pennsylvania,19147.0,1037.0,,394000.0,
637042,for_sale,1.0,1.0,,Philadelphia,Pennsylvania,19103.0,871.0,,279000.0,
637043,for_sale,2.0,1.0,0.03,Philadelphia,Pennsylvania,19153.0,936.0,2001-11-05,109900.0,2001.0
637044,for_sale,2.0,2.0,0.02,Philadelphia,Pennsylvania,19129.0,1152.0,,245000.0,
637045,for_sale,4.0,3.0,0.06,Philadelphia,Pennsylvania,19138.0,1954.0,2021-05-15,279900.0,2021.0
637046,for_sale,5.0,3.0,0.12,Lansdowne,Pennsylvania,19050.0,2045.0,2006-01-13,210000.0,2006.0
637047,for_sale,3.0,3.0,0.02,Philadelphia,Pennsylvania,19146.0,2144.0,2020-03-30,480000.0,2020.0
637048,for_sale,3.0,1.0,0.02,Philadelphia,Pennsylvania,19124.0,1200.0,1995-05-23,150000.0,1995.0
637049,for_sale,3.0,2.0,0.02,Philadelphia,Pennsylvania,19147.0,1900.0,2020-03-19,619000.0,2020.0
637050,for_sale,4.0,1.0,0.02,Philadelphia,Pennsylvania,19133.0,1260.0,,139000.0,
637053,for_sale,,,0.02,Philadelphia,Pennsylvania,19132.0,,,20000.0,
637054,for_sale,3.0,2.0,0.02,Philadelphia,Pennsylvania,19145.0,1332.0,1990-11-01,285000.0,1990.0
637055,for_sale,3.0,2.0,0.02,Philadelphia,Pennsylvania,19132.0,1551.0,1997-04-16,199900.0,1997.0
637056,for_sale,3.0,1.0,0.02,Philadelphia,Pennsylvania,19133.0,998.0,,74500.0,
637057,for_sale,3.0,3.0,0.01,Philadelphia,Pennsylvania,19148.0,2016.0,,649900.0,
